value,   keys inserted, insertion time (s), keys lost during retrieval, retrieval time (s)
1, [main] Inserted 100000 keys in 0.007546 seconds
[thread 0] 0 keys lost!
[main] Retrieved 100000/100000 keys in 5.316165 seconds
2, [main] Inserted 100000 keys in 0.004904 seconds
[thread 1] 4502 keys lost!
[thread 0] 6586 keys lost!
[main] Retrieved 88912/100000 keys in 2.793514 seconds
3, [main] Inserted 100000 keys in 0.003829 seconds
[thread 1] 4204 keys lost!
[thread 0] 4129 keys lost!
[thread 2] 4063 keys lost!
[main] Retrieved 87604/100000 keys in 1.775575 seconds
4, [main] Inserted 100000 keys in 0.003553 seconds
[thread 0] 4756 keys lost!
[thread 1] 5209 keys lost!
[thread 3] 5060 keys lost!
[thread 2] 5025 keys lost!
[main] Retrieved 79950/100000 keys in 1.352148 seconds
value,   keys inserted, insertion time (s), keys lost during retrieval, retrieval time (s)
1, 100000,0.007179,0,5.137045
2, 100000,0.004893,10255,2.989693
3, 100000,0.004422,12624,1.813452
4, 100000,0.003505,20851,1.306945
5, 100000,0.003106,24608,1.126730
6, 100000,0.002714,27163,0.939425
7, 100000,0.002429,30506,0.843136
8, 100000,0.002202,32714,0.747023
9, 100000,0.002592,28654,0.761274
10, 100000,0.002684,28490,0.762149
11, 100000,0.002789,27521,0.717159
12, 100000,0.002734,27970,0.698269
13, 100000,0.002840,29465,0.792322
14, 100000,0.002533,30343,0.756519
15, 100000,0.003001,24751,0.777888
16, 100000,0.002923,34292,0.683245
17, 100000,0.002438,30440,0.776987
18, 100000,0.002620,29066,0.830961
19, 100000,0.002664,35181,0.677678
20, 100000,0.002631,29532,0.719761
21, 100000,0.002462,30828,0.731310
22, 100000,0.002495,31121,0.716984
23, 100000,0.002473,45832,0.604586
24, 100000,0.002429,31299,0.704226
25, 100000,0.002596,31113,0.706584
26, 100000,0.002537,39286,0.662676
27, 100000,0.002530,30038,0.706743
28, 100000,0.002718,30119,0.695020
29, 100000,0.002614,33062,0.689499
30, 100000,0.002500,40212,0.677119
31, 100000,0.002551,31653,0.697410
32, 100000,0.002547,38459,0.677016
33, 100000,0.002523,30020,0.722686
34, 100000,0.002521,34013,0.695622
35, 100000,0.002489,30964,0.699018
36, 100000,0.002496,32289,0.676241
37, 100000,0.002391,38829,0.663923
38, 100000,0.002418,40351,0.637972
39, 100000,0.002638,30754,0.693774
40, 100000,0.002724,37327,0.636473
41, 100000,0.002542,30857,0.678433
42, 100000,0.002711,41318,0.623093
43, 100000,0.002569,32154,0.672438
44, 100000,0.002573,30743,0.694246
45, 100000,0.002509,40904,0.643407
46, 100000,0.002571,31046,0.815515
47, 100000,0.002762,28330,0.735002
48, 100000,0.002930,29961,0.714048
49, 100000,0.002639,31373,0.703591
50, 100000,0.002682,34249,0.754246
